0,1,2,3,4,5,6,7,8
12.44,5.47,1.00,3.98,1.49,0.50,1.99,15.92,0.00
14.13,2.83,0.35,0.00,0.71,0.00,3.18,13.07,0.71
10.34,8.05,1.15,1.15,0.00,0.00,0.00,11.49,0.00
16.42,10.45,0.00,4.48,0.00,0.00,0.00,7.46,2.99
16.94,8.87,0.00,3.23,0.00,0.00,0.00,8.06,3.23
16.35,5.05,0.24,3.37,1.20,0.24,3.85,11.30,1.68
25.81,11.29,1.61,3.23,1.61,0.00,0.00,12.90,0.00
14.71,8.28,0.00,4.83,1.38,0.00,1.61,14.02,0.92
13.08,6.78,0.70,2.10,1.17,0.00,3.27,13.08,0.23
15.22,6.04,0.72,2.66,1.69,0.00,0.97,13.29,1.69
12.63,8.68,0.26,3.95,1.84,0.26,1.84,12.11,1.05
14.96,8.98,0.25,2.00,0.50,0.25,0.50,9.98,1.00
13.79,8.51,0.00,2.53,1.15,0.69,2.30,11.72,0.46
7.67,7.67,0.96,1.92,1.92,0.96,0.00,17.27,1.92
7.60,6.89,0.95,3.80,1.90,0.24,0.95,17.34,0.48
15.81,10.93,0.47,4.19,1.40,0.47,1.40,13.02,0.00
13.04,6.32,0.00,3.95,1.58,0.00,1.19,11.46,3.95
22.53,8.24,1.65,5.49,2.20,1.65,0.55,9.34,0.00
12.93,4.89,0.57,0.57,0.00,0.29,3.16,12.36,0.29
10.09,6.42,1.83,0.92,0.00,0.92,2.75,14.68,0.00
11.18,4.97,0.00,3.11,1.24,0.00,1.24,15.53,3.11
16.67,5.75,0.00,0.57,0.57,0.00,2.87,10.92,2.30
15.45,9.09,0.00,2.73,0.91,0.00,0.91,12.73,0.00
17.14,6.49,0.78,1.82,1.56,0.52,3.12,12.73,1.04
13.43,4.48,0.60,2.99,0.60,0.00,2.99,11.64,0.30
13.97,2.88,1.77,1.77,1.11,0.67,4.88,9.98,0.44
14.81,4.51,0.43,3.00,1.29,0.21,2.58,13.09,0.21
11.89,3.78,0.00,0.54,1.08,0.00,5.41,12.97,0.00
16.50,5.11,0.59,2.16,1.57,0.39,1.18,12.97,1.57
12.56,7.39,0.00,2.46,1.72,0.49,0.74,16.50,1.72
14.64,5.36,0.00,1.43,0.00,0.36,3.57,12.50,0.71
17.96,7.12,0.00,1.24,0.62,0.00,1.86,12.07,0.31
10.69,6.21,0.69,1.38,2.07,0.69,0.00,13.10,2.41
6.64,4.12,0.00,1.60,1.37,0.00,0.00,18.31,2.29
11.21,3.74,2.10,1.17,2.10,0.70,2.57,12.85,2.34
13.72,3.24,1.25,2.00,2.24,0.25,2.00,15.21,0.75
15.25,6.25,0.75,1.75,1.50,0.50,2.25,12.50,1.00
15.34,5.49,0.38,1.33,0.57,0.00,2.27,8.14,0.38
19.93,8.17,0.33,2.61,1.31,0.33,1.63,10.46,1.31
16.67,6.41,0.00,2.56,0.43,0.43,1.28,15.81,0.85
13.53,4.51,0.75,1.50,0.00,0.00,1.50,9.77,0.00
12.45,4.82,1.61,2.41,1.20,0.40,0.00,14.86,0.80
22.82,4.03,0.00,2.01,2.68,0.00,0.67,12.08,0.00
22.65,6.63,0.00,2.21,1.66,0.00,0.55,12.15,1.10
9.76,3.05,0.61,1.22,0.61,0.00,0.00,8.54,0.61
10.84,6.93,0.60,1.81,1.51,0.60,1.81,12.65,0.90
17.75,8.88,0.00,2.96,0.00,0.00,1.18,11.83,0.00
12.29,3.99,0.33,3.32,0.00,0.33,1.00,13.29,0.00
7.24,5.52,0.69,1.72,1.03,0.00,0.69,15.17,0.69
16.50,5.25,0.00,3.50,1.25,0.00,4.25,11.25,0.75
8.33,7.37,0.32,0.32,0.64,0.00,1.60,14.42,0.00
14.52,6.58,0.55,2.19,0.82,0.00,2.47,14.25,0.55
17.95,10.77,0.00,2.05,0.51,0.51,0.51,11.28,0.00
16.61,6.51,0.33,4.23,1.63,0.33,5.54,10.10,0.33
9.82,4.91,0.31,1.84,0.61,0.00,0.61,16.56,0.92
13.23,5.60,0.00,1.78,1.02,0.00,1.27,15.52,0.51
17.18,7.05,0.00,1.76,1.32,0.00,0.88,17.62,0.88
8.47,6.45,0.00,1.61,2.02,0.00,3.23,11.29,0.00
10.17,5.08,0.56,4.52,2.26,0.00,1.69,16.95,1.13
25.00,0.00,0.00,0.00,0.00,0.00,0.00,8.33,0.00
13.82,7.57,0.33,4.61,3.29,0.00,2.30,13.49,0.00
13.73,4.14,0.00,1.31,0.65,0.00,1.31,14.38,0.87
14.55,5.08,0.46,3.46,1.15,0.00,0.69,13.86,3.23
15.44,4.84,0.92,3.00,2.30,0.46,2.07,14.98,2.07
13.57,4.42,0.59,1.47,0.88,0.29,3.24,11.21,0.00
9.84,7.51,0.26,1.81,0.26,0.26,0.00,13.21,1.04
15.43,8.02,0.00,3.70,3.09,0.00,4.94,8.64,0.62
12.22,5.24,0.00,2.74,2.24,0.00,0.75,16.96,1.00
11.89,5.83,0.00,0.73,0.73,0.00,3.64,10.19,0.97
23.38,7.79,0.00,1.30,0.00,0.00,0.00,12.99,0.00
11.74,10.33,0.00,3.29,2.35,0.00,3.29,12.68,0.94
14.73,5.70,0.71,3.80,1.43,0.48,1.90,10.21,2.14
15.55,5.02,0.00,1.67,1.44,0.00,2.15,12.68,0.72
16.39,5.94,2.14,1.66,1.19,0.48,1.90,11.40,0.71
15.31,7.18,1.44,0.96,1.44,0.00,0.96,14.35,0.00
28.00,6.67,1.33,1.33,0.00,0.00,2.67,12.00,0.00
21.19,6.57,1.49,2.39,0.90,0.60,0.90,12.24,1.79
15.75,7.25,1.00,3.25,3.00,0.00,1.50,10.00,0.75
14.11,9.81,0.00,2.87,1.91,0.48,0.96,15.79,0.96
13.67,5.01,0.23,1.14,0.68,0.23,4.33,11.39,2.28
14.71,5.88,0.74,2.21,0.00,0.74,0.74,12.50,2.21
12.65,9.71,1.18,0.88,1.18,0.29,1.18,13.24,2.35
10.97,10.97,0.00,4.99,1.00,0.00,0.00,11.97,0.00
15.50,5.33,0.00,1.45,0.48,0.48,0.97,12.11,0.48
12.90,5.84,1.46,0.97,0.49,0.00,1.22,12.17,1.46
15.56,5.87,0.51,1.53,1.28,0.51,4.08,13.78,0.51
28.93,9.98,0.00,3.99,0.00,0.00,0.00,7.98,0.00
14.15,6.34,0.00,1.95,1.95,0.00,5.37,13.66,0.24
9.80,12.25,1.23,2.70,2.94,0.00,0.49,12.99,0.74
17.88,5.65,0.00,1.88,0.94,0.00,2.82,5.65,1.88
10.78,4.74,0.43,2.16,0.00,1.29,3.45,15.09,0.43
11.63,6.05,0.00,3.72,1.40,0.00,0.00,11.63,1.40
16.38,6.47,2.59,1.72,1.29,0.00,4.31,10.78,0.00
15.18,4.45,0.79,1.05,1.31,0.26,4.45,12.30,0.52
15.91,7.73,0.00,4.09,4.55,0.00,2.73,10.91,0.45
19.34,7.55,0.47,2.83,0.94,0.47,2.36,14.15,0.94
13.73,6.54,0.33,1.96,0.65,0.00,1.31,16.34,0.98
21.53,4.38,1.82,5.11,0.73,0.73,1.82,11.31,0.36
20.28,3.69,0.00,1.84,1.84,0.00,3.69,10.60,0.92
14.16,5.15,2.15,4.29,2.15,2.15,0.86,15.88,1.29
10.19,7.64,1.27,3.18,0.00,0.64,1.27,10.19,0.64
13.09,6.17,1.98,2.22,1.73,0.74,3.46,12.35,0.25
9.03,4.68,0.67,1.00,0.67,0.00,3.34,12.04,0.33
14.72,4.29,2.45,1.23,1.23,0.61,0.61,15.34,0.00
14.89,7.09,0.00,2.13,0.71,0.00,0.00,12.06,0.00
12.62,7.43,3.22,0.99,1.49,1.49,0.99,13.12,0.74
16.91,13.24,0.00,3.68,0.74,0.00,2.94,15.44,0.00
17.01,7.48,0.00,3.40,2.04,0.00,0.68,15.65,0.68
17.40,5.39,0.74,2.70,0.98,0.25,3.19,9.56,1.23
18.58,9.73,0.00,2.65,2.65,0.00,0.88,15.04,0.00
14.75,6.45,0.69,0.46,0.69,0.00,1.84,14.52,0.92
13.70,8.22,2.05,2.74,1.37,0.68,1.37,10.96,0.68
13.59,4.62,0.51,1.54,1.03,0.51,1.54,12.05,0.51
17.31,5.77,0.00,1.92,0.96,0.00,0.96,12.50,0.96
16.78,6.35,0.23,0.91,1.36,0.00,2.49,12.47,0.45
17.79,7.69,0.96,0.72,1.44,0.00,3.61,12.74,0.00
16.15,7.18,0.77,1.28,1.28,0.00,2.31,15.90,0.26
17.65,5.35,0.00,3.21,1.07,0.00,0.53,12.83,0.00
12.25,6.25,0.75,1.50,0.75,0.00,2.00,12.25,1.75
14.29,3.57,0.95,1.19,0.71,0.48,1.43,11.43,1.90
12.03,7.27,0.50,1.75,1.25,0.25,1.50,15.04,0.25
16.76,4.67,0.82,2.47,0.82,0.27,1.37,11.81,0.27
13.35,7.56,0.00,1.26,1.51,0.25,2.52,13.85,1.01
13.11,2.83,1.29,4.63,0.77,1.03,4.88,9.25,1.54
8.10,7.48,2.80,0.93,0.62,1.25,0.62,14.95,0.62
13.17,4.39,1.46,0.49,0.98,0.49,0.98,14.63,0.49
15.08,6.03,1.01,3.02,2.01,0.00,2.51,14.07,1.51
12.74,8.96,2.36,0.47,0.00,0.00,0.94,11.79,0.47
14.04,4.68,1.75,2.92,2.34,1.75,2.92,15.79,1.75
12.81,7.39,0.99,1.48,1.97,0.00,0.99,10.34,0.00
15.33,5.47,1.09,1.09,0.73,1.82,2.19,12.77,1.82
15.14,5.63,1.76,2.46,1.76,0.70,1.76,13.38,1.41
15.05,8.24,1.08,0.72,1.08,0.00,1.08,13.98,0.36
20.80,9.60,0.00,1.60,1.20,0.00,0.80,10.80,0.40
14.29,5.29,2.12,0.53,0.00,0.53,3.17,10.05,1.59
14.35,7.59,1.69,0.42,1.27,0.00,0.84,13.92,0.42
10.65,5.84,1.03,1.72,1.72,0.69,3.09,12.03,1.03
16.13,9.68,0.00,0.00,1.08,0.00,0.00,15.05,0.00
14.52,2.42,0.81,0.81,0.81,0.81,0.00,16.13,0.81
15.62,7.29,1.04,0.00,0.00,0.00,2.60,10.42,1.56
13.27,9.86,0.68,1.36,1.70,0.34,0.68,12.59,0.00
15.12,7.72,0.62,2.16,1.23,0.62,2.16,10.19,0.62
14.81,6.40,1.68,2.02,1.01,0.67,0.34,11.11,1.01
10.50,7.18,0.00,1.66,1.10,0.00,1.10,16.02,0.55
12.74,5.10,1.91,2.55,0.64,0.00,3.82,6.37,2.55
12.10,5.73,0.64,1.91,0.00,0.00,2.55,14.01,0.64
17.95,5.77,0.00,0.64,0.00,0.00,0.00,14.74,0.00
13.04,8.70,0.00,0.00,0.00,0.00,0.00,13.91,0.87
15.64,5.03,1.12,0.56,0.56,1.12,1.12,14.53,0.00
11.96,11.48,0.48,2.87,2.87,0.00,0.00,12.44,0.00
15.20,5.60,1.60,0.40,1.60,0.00,1.60,16.00,0.80
12.58,3.97,0.66,1.99,0.66,0.00,5.96,9.27,0.66
11.65,2.43,0.00,1.46,0.00,0.00,0.97,10.68,1.46
12.39,7.49,0.29,2.02,2.02,0.86,1.15,11.53,1.15
19.04,4.34,1.93,1.45,0.72,0.96,0.96,17.35,2.41
10.92,3.93,1.75,1.31,0.00,0.00,0.87,17.03,0.44
16.48,4.60,0.77,1.53,0.77,0.77,3.07,11.11,0.00
10.82,6.49,0.87,0.00,0.00,0.87,0.43,14.29,1.30
12.02,6.25,0.00,1.92,1.92,0.00,5.77,8.17,0.00
15.45,5.28,0.41,3.25,0.41,0.00,0.81,10.16,0.00
12.76,5.61,1.02,2.04,1.53,0.51,0.00,17.86,0.00
14.14,6.06,0.00,5.05,3.03,0.00,2.02,11.11,1.01
18.72,7.76,0.46,6.39,1.37,0.00,0.46,10.05,1.37
18.10,7.62,0.00,1.90,0.95,0.00,2.86,13.33,0.95
13.08,3.74,0.00,0.93,0.00,0.00,0.00,13.08,0.00
16.58,4.08,0.27,2.72,1.63,0.27,2.17,10.60,0.27
14.04,6.51,0.00,1.71,1.37,0.00,2.40,11.64,0.00
14.64,7.95,0.42,2.93,1.26,0.42,0.84,12.97,0.84
10.07,5.16,0.00,0.98,1.23,0.00,1.47,21.38,0.25
18.52,6.48,0.93,2.16,3.09,0.31,1.54,14.51,0.31
15.66,6.02,0.00,1.81,0.00,0.00,0.60,15.06,0.60
12.56,9.18,2.42,0.48,2.90,0.97,0.48,17.39,0.00
19.08,5.34,0.76,2.29,0.76,0.00,0.76,14.50,0.76
15.35,3.07,1.75,1.32,1.75,0.00,1.32,14.91,0.88
18.35,8.24,0.75,1.50,2.25,0.00,0.00,11.99,0.75
15.61,3.99,1.00,1.33,1.33,0.00,1.33,12.96,0.66
17.29,7.52,0.00,3.76,2.26,0.75,2.26,11.28,0.00
8.91,4.65,1.16,3.10,1.16,0.39,2.33,13.95,0.39